clause_id,domain,status,verification_scope,verification_anchor,foundation_source
PMR-MOD-007,module,specified-pending,host-tests,extension_module_name_identity_validation,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0043
PMR-VIS-001,visibility,implemented-partial,host-tests,option_private_module_is_rejected_for_non_procedural_modules;formal_pmr_project_manifest_option_private_module_preserves_host_export_entry,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01366
PMR-VIS-002,visibility,implemented-partial,host-tests,public_symbol_collisions_require_qualification,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0053
PMR-VIS-003,visibility,implemented-partial,host-tests,public_symbol_collisions_require_qualification,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0106
PMR-VIS-004,visibility,specified-pending,conformance,cross_project_access_denied_for_private_modules,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01368
PMR-NAME-001,name-resolution,implemented-partial,host-tests,module_local_declaration_collision_tests,conformance/tests/declaration_collision_proc_name_error.bas
PMR-NAME-002,name-resolution,specified-pending,host-tests,public_udt_enum_cross_module_name_conflicts,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0078
PMR-NAME-003,name-resolution,implemented-partial,host-tests,compile_project_rewrites_module_qualified_calls_for_unique_names;compile_project_rewrites_same_project_qualified_call;active_project_resolution_uses_reference_precedence_order_for_shadowing,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01230
PMR-CLS-001,class,implemented-verified,host-tests,compile_project_rejects_withevents_in_procedural_module;compile_project_allows_withevents_in_class_module,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0056
PMR-CLS-002,class,specified-pending,host-tests,event_handler_prefix_from_withevents,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0140
PMR-CLS-003,class,implemented-verified,host-tests,compile_project_rejects_implements_in_non_class_module,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0095
PMR-CLS-004,class,specified-pending,host-tests,implements_interface_name_uniqueness,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0096
PMR-CLS-005,class,implemented-verified,host-tests,compile_project_rejects_implements_missing_member_coverage;compile_project_class_module_allows_implements_subset_without_gate_diagnostic;compile_project_allows_implements_interface_from_referenced_project,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0097
PMR-CLS-006,class,implemented-partial,host-tests,compile_project_rejects_implements_missing_member_coverage,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0143
PMR-CLS-007,class,implemented-verified,host-tests,compile_project_rejects_raiseevent_in_non_class_module;compile_project_rejects_raiseevent_undeclared_event;compile_project_allows_raiseevent_for_declared_event,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0176
PMR-CLS-008,class,implemented-partial,host-tests,class_default_instance_flag_is_derived_from_attributes,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0065
PMR-REF-001,references,implemented-partial,host-tests,active_project_resolution_uses_reference_precedence_order_for_shadowing,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/docs/discovered-ms-vbal-250520-f945507e/spec_items.jsonl#SPEC-discovered-ms-vbal-250520-f945507e-01232
PMR-REF-002,references,implemented-partial,host-tests,type_library_resolution_binds_unique_importlib_entry;type_library_resolution_requires_importlib_hint;type_library_resolution_reports_ambiguous_importlib,../Foundation/reference/runs/20260301-ms-oaut-pass02/outputs/conformance_items.jsonl#CONF-discovered-ms-oaut-240423-b76f9b41-0561
PMR-REF-003,references,implemented-partial,host-tests,dispatch_getids_case_insensitive_subset,../Foundation/reference/runs/20260301-ms-oaut-pass02/outputs/conformance_items.jsonl#CONF-discovered-ms-oaut-240423-b76f9b41-0599
PMR-REF-004,references,implemented-partial,conformance,dispatch_invoke_packaging_subset,../Foundation/reference/runs/20260301-ms-oaut-pass02/outputs/conformance_items.jsonl#CONF-discovered-ms-oaut-240423-b76f9b41-0614
PMR-COM-001,class-com,implemented-verified,host-tests,formal_v44_property_let_routes_assignment_byref;formal_v44_property_set_routes_assignment_byref;formal_v54_class_initialize_runs_before_main;formal_v54_class_terminate_runs_after_main,../Foundation/reference/runs/20260301-ms-vbal-pass07/outputs/conformance_items.jsonl#CONF-discovered-ms-vbal-250520-f945507e-0176
PMR-COM-002,class-com,implemented-partial,host-tests,formal_v55_createobject_dispatch_subset,../Foundation/reference/runs/20260301-ms-oaut-pass02/outputs/conformance_items.jsonl#CONF-discovered-ms-oaut-240423-b76f9b41-0614
PMR-OVBA-001,storage,specified-pending,documentation,ovba_section2_clause_mapping_backlog,../Foundation/reference/runs/20260301-ms-ovba-pass01/outputs/spec_items.jsonl#SPEC-ms-ovba-b39ac32f-0ce1-4533-9297-2ff3ff62c9ec-de6157f4-00005
PMR-OVBA-002,storage,specified-pending,conformance,ovba_roundtrip_suite,../Foundation/reference/runs/20260301-ms-ovba-pass01/outputs/run_manifest.json
PMR-HAL-001,hal-adjacent,specified-pending,conformance,project_host_injection_hal_contract_lane,docs/spec/PROJECT_MODULE_REFERENCE_HAL_INTEGRATION_V1.md
PMR-HAL-002,hal-adjacent,specified-pending,host-tests,project_reference_phase_diagnostic_mapping,crates/oxvba-host/src/engine.rs
