"production","category","fixture_anchor","parser_status","binder_status","execution_status","residual_disposition","cst_parser_route","production_binder_route","production_lowering_route","legacy_route_status","route_evidence","notes"
"const_item","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"dim_decl","declaration","conformance/tests/duplicate_dim_error.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","local declaration diagnostic anchor"
"variable_decl_stmt","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"static_decl","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"variable_decl_list","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"variable_decl","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"array_rank","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"bound_list","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"bound","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"type_ascription","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"new_modifier","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"enum_decl","declaration","conformance/tests/enum_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","enum declaration anchor"
"enum_member","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"type_decl","declaration","conformance/tests/udt_declaration_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","UDT declaration anchor"
"field_decl","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"declare_decl","declaration","conformance/tests/declare_function_stub_basic.bas; conformance/tests/declare_sub_stub_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","declare syntax/runtime boundary anchors"
"lib_clause","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"alias_clause","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"event_decl","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"implements_decl","declaration","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"procedure_decl","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"sub_decl","procedure","examples/basic/procedures.bas","anchored_existing","anchored_existing","partial_or_host_specific","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","procedure declaration smoke anchor"
"function_decl","procedure","conformance/tests/function_call_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","function declaration/call anchor"
"property_decl","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"property_get","procedure","conformance/tests/property_get_declaration_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","property declaration anchor"
"property_let","procedure","conformance/tests/property_let_byref_route.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","property Let binding anchor"
"property_set","procedure","conformance/tests/property_set_byref_route.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","property Set binding anchor"
"parameter_list","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"parameter_decl_list","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"parameter_decl","procedure","conformance/tests/params_optional_default.bas; conformance/tests/params_paramarray_pack.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","parameter mode/default/ParamArray anchors"
"parameter_modifier","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"default_value","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"statement_block","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"visibility","procedure","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"statement","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"assignment_stmt","statement","conformance/tests/assignment_set_let_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Set/Let assignment anchor"
"call_stmt","statement","conformance/tests/proc_call_chain.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","call statement anchor"
"if_stmt","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"inline_if_stmt","statement","conformance/tests/if_true.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","inline If anchor"
"block_if_stmt","statement","conformance/tests/if_elseif_else_path.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","block If anchor"
"elseif_clause","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"else_clause","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"select_stmt","statement","conformance/tests/select_case_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Select Case anchor"
"case_clause","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"case_selector_list","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"case_selector","statement","conformance/tests/select_case_is_range.bas; conformance/tests/select_case_multi.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Case range/list/Is anchors"
"case_compare_op","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"for_stmt","statement","conformance/tests/for_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","For loop anchor"
"for_each_stmt","statement","conformance/tests/for_each_array_variable_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","For Each anchor"
"do_loop_stmt","statement","conformance/tests/do_loop_while_basic.bas; conformance/tests/do_loop_until_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Do loop anchors"
"loop_condition","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"while_wend_stmt","statement","conformance/tests/while_wend_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","While/Wend anchor"
"with_stmt","statement","conformance/tests/with_block_basic.bas; conformance/tests/with_block_member_target_chain.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","With receiver anchor"
"on_error_stmt","statement","conformance/tests/on_error_resume_next.bas; conformance/tests/on_error_goto_label_resume.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","error mode anchors"
"resume_stmt","statement","conformance/tests/resume_statement_basic.bas; conformance/tests/resume_next_statement_ok.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Resume anchors"
"goto_stmt","statement","conformance/tests/goto_label_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","GoTo anchor"
"gosub_stmt","statement","conformance/tests/gosub_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","GoSub anchor"
"return_stmt","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"exit_stmt","statement","conformance/tests/for_exit_for_basic.bas; conformance/tests/do_exit_do.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Exit anchor"
"erase_stmt","statement","conformance/tests/erase_array_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","Erase anchor"
"redim_stmt","statement","conformance/tests/redim_preserve_keeps_values.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","ReDim Preserve anchor"
"redim_item","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"raise_event_stmt","statement","conformance/tests/project_model_raiseevent_requires_class_graph.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","currently diagnostic/project-model anchor"
"local_decl_stmt","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"empty_stmt","statement","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"expression","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"comparison_expr","expression","conformance/tests/operator_comparison_object_long_error.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","comparison expression anchor"
"compare_op","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"concat_expr","expression","conformance/tests/string_join_array_tag_count.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","string/concat-adjacent anchor"
"additive_expr","expression","examples/basic/arithmetic.bas","anchored_existing","anchored_existing","partial_or_host_specific","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","arithmetic expression anchor"
"multiplicative_expr","expression","examples/basic/arithmetic.bas","anchored_existing","anchored_existing","partial_or_host_specific","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","arithmetic expression anchor"
"unary_expr","expression","conformance/tests/if_or_not.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","unary Not anchor"
"exponent_expr","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"postfix_expr","expression","conformance/tests/late_bound_default_member_exec.bas; conformance/tests/object_collection_count_chain.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","member/index/call postfix anchors"
"postfix_part","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"member_part","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"bang_part","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"index_or_call_part","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"primary_expr","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"parenthesized_expr","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"type_of_expr","expression","conformance/tests/typeof_is_condition_basic.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","TypeOf Is anchor"
"argument_syntax","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"argument_list","expression","conformance/tests/params_named_bind.bas; conformance/tests/params_named_optional_omit.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","argument mapping anchors"
"argument","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"named_argument","expression","conformance/tests/params_named_bind.bas","anchored_existing","anchored_existing","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","legacy_anchor_needs_hir_route_proof","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","named argument anchor"
"callable_expr","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"lvalue","expression","","scaffolded_needs_fixture","needs_fixture","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","needs_fixture","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"identifier","lexical","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"type_name","lexical","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"qualified_identifier","lexical","","scaffolded_needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","needs_matrix_anchor","needs_fixture","not_applicable_or_later","needs_fixture_or_not_applicable","not_yet_classified","none_yet",""
"builtin_type","lexical","conformance/vm_package/identity_seed/vmr02_descriptor_primitive_string_variant.bas","anchored_existing","not_applicable_or_later","partial_or_host_specific","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","not_applicable_or_later","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","primitive descriptor anchor"
"literal","lexical","conformance/tests/string_vbnullstring_basic.bas; conformance/tests/stdlib_date_serial_value.bas","anchored_existing","not_applicable_or_later","anchored_existing","none_for_anchor_scope","legacy_anchor_needs_cst_route_proof","not_applicable_or_later","legacy_anchor_needs_hir_lowering_route_proof","production_legacy_route_not_yet_retired","none_yet","literal family needs expanded lexer snapshots"
