feature_area,construct,status,phase_scope,evidence,notes
procedures,Set/Let assignment keyword forms,implemented,v121,conformance/tests/assignment_set_let_basic.bas,set/let prefixes normalize to assignment semantics subset
runtime,Intrinsic conversion functions (CInt/CLng/CDbl/CStr/CBool/CDate/Val/Str/CVErr subset),implemented,v45,conformance/tests/conversion_cint_basic.bas,int-domain subset lowered as identity conversion
runtime,String core intrinsics (Len/Left/Right/Mid/InStr/LCase/UCase subset),implemented,v46,conformance/tests/stdlib_len_basic.bas,decimal-string-over-int subset
runtime,String advanced intrinsics (Split/Join/Replace/Trim/LTrim/RTrim/StrComp/Like/InStrRev subset),implemented,v47-v150,conformance/tests/stdlib_advanced_instrrev_like.bas,deterministic digit-string subset with array-tag-aware Join count mapping; Oracle 20260321T094401Z: 7/7 StrComp/InStr/Like/Replace/Trim/slice tests match
runtime,Date/time intrinsics (DateSerial/TimeSerial/DateValue/TimeValue/DateAdd/DateDiff subset),implemented,v48,conformance/tests/stdlib_date_serial_value.bas,deterministic numeric projection subset
runtime,Math/financial intrinsics (Abs/Int/Fix/Sgn/Round/Sqr/Sin/Cos/Log/Exp/FV/PV/PMT subset),implemented,v49,conformance/tests/stdlib_math_primitives.bas,integer-domain + zero-rate financial subset
runtime,Array/variant introspection intrinsics (Array/LBound/UBound/IsArray/VarType/TypeName/IsNumeric/IsDate/IsObject subset),implemented,v50,conformance/tests/stdlib_array_introspection_bounds.bas,array-tag projection subset
runtime,Error-surface intrinsics (Err.Raise/CVErr subset),implemented,v51,conformance/tests/stdlib_error_err_raise_resume.bas,resolver maps Err.Raise to runtime error op
runtime,Host-sensitive intrinsics (Shell/Environ/Dir subset),implemented,v52,conformance/tests/stdlib_host_sensitive_shell_environ_dir.bas,deterministic host-fallback subset
runtime,Extended conversion intrinsics (CSng/CByte/CCur/CDec subset),implemented,v120,conformance/tests/conversion_extended_scalar_subset.bas,conversion identity subset wired through conversion parser
runtime,Introspection expansion intrinsics (IsEmpty/IsNull/IsError/VarType/IsNumeric/TypeOfIs subset),implemented,v126-v158,conformance/tests/introspection_vartype_isnumeric_tags.bas,sentinel-tag subset covers Empty/Null/CVErr error distinctions with deterministic VarType and IsNumeric behavior; Oracle 20260321T094401Z: golden=8,1,10,2,0,0,0,1 matches oracle (DIV-0016 VarType i16-range heuristic)
runtime,TypeOf ... Is condition subset,implemented,v126,conformance/tests/typeof_is_condition_basic.bas,lowered to `typeofis` intrinsic in condition parsing
runtime,String expansion intrinsics (Space/String$/Chr/Chr$/Asc/StrConv subset),implemented,v127,conformance/tests/stdlib_string_expansion_core.bas,deterministic count/identity subset
runtime,Format intrinsics (Format/Format$ subset),implemented,v128,conformance/tests/stdlib_format_core.bas,format identity projection subset
runtime,Date/time expansion intrinsics (Date/Time/Now/Timer/Year/Month/Day/Weekday/MonthName subset),implemented,v129,conformance/tests/stdlib_datetime_expansion.bas,deterministic constant and date-part projection subset
runtime,Random intrinsics (Rnd/Randomize subset),implemented,v130,conformance/tests/stdlib_rnd_isolated.bas,Randomize <expr> statement implemented; Int() extended for f64 inputs; deterministic seeded LCG subset
runtime,Numeric extension intrinsics (Hex/Oct/Atn/Tan subset),implemented,v131,conformance/tests/stdlib_numeric_expansion.bas,identity projection subset
runtime,Financial extension intrinsics (NPV/IRR/MIRR/Rate/NPer subset),implemented,v132-v161,conformance/tests/financial_tolerance_mixed_modes.bas,algorithmic subset implemented with oracle-safe integer arguments; Cat D divergence from Excel decimal-fraction model documented
runtime,File-introspection intrinsics (FreeFile/EOF/LOF/Seek expression subset),implemented,v134,conformance/tests/stdlib_file_stub_intrinsics.bas,in-scope expression subset implemented; full stateful file I/O statement semantics are HAL-adjacent and deferred
runtime,Language/stdlib consolidation gate corpus,implemented,v56,conformance/tests/consolidate_language_stdlib_mix.bas,expanded mixed-feature gate fixtures
arrays,Fixed-size arrays,implemented,v10,conformance/tests/array_store_load.bas,
arrays,Array bounds error,implemented,v10,conformance/tests/array_bounds_error.bas,
arrays,Option Base lower-bound indexing,implemented,v81,conformance/tests/array_option_base_one_bounds.bas,Oracle 20260321T094401Z: Cat A harness artifact (scalar results match)
arrays,Multidimensional indexing,implemented,v81,conformance/tests/array_multidim_indexing.bas,
arrays,Dynamic ReDim,implemented,v42,conformance/tests/redim_preserve_keeps_values.bas,
arrays,ReDim Preserve multidimensional legality,implemented,v82,conformance/tests/redim_preserve_multidim_last_dimension.bas,
arrays,ReDim Preserve illegal non-last-dimension resize diagnostic,implemented,v82,conformance/tests/redim_preserve_illegal_non_last_dim_error.bas,Oracle 20260321T094401Z: redim_preserve_illegal_non_last_dim_error/redim_shrink_bounds_error match
arrays,Erase statement semantics,implemented,v99,conformance/tests/erase_array_basic.bas,Oracle 20260321T094401Z: Cat A harness artifact (both produce all-zeros)
error_handling,On Error Resume Next,implemented,v11,conformance/tests/on_error_resume_next.bas,
error_handling,On Error GoTo 0,implemented,v12,conformance/tests/on_error_goto_zero_fail.bas,
error_handling,Resume Next statement,implemented,v12,conformance/tests/resume_next_statement_ok.bas,
error_handling,On Error GoTo label,implemented,v41,conformance/tests/on_error_goto_label_resume.bas,Oracle 20260321T094401Z: on_error_goto_label_resume golden=100 matches oracle (DIV-0015 fix)
error_handling,Resume statement (same statement or label),implemented,v95,conformance/tests/resume_statement_basic.bas,includes both Resume and Resume <label> subset (see resume_label_basic.bas)
error_handling,Err object full surface,implemented,v149-v160,conformance/tests/err_clear_full_surface_reset.bas,non-HAL deterministic Err surface subset (Number/Description/Source/HelpContext/HelpFile/LastDllError plus Raise/Clear and lifecycle clears) is implemented; DIV-0017 fix: Description/Source emit correct bytecode; oracle delta on HelpContext is Cat B (host-specific)
diagnostics,Compile-time vs runtime diagnostic phase timing,implemented,v157,crates/oxvba-host/src/engine.rs,host execution now exposes phase-classified diagnostics and validates compile-time precedence over runtime paths; Oracle 20260321T094401Z: 9/10 diagnostic tests match (DIV-0008 for declaration_collision strictness)
types,Variant numeric core,implemented,v13-v153,docs/evidence/formal/obligations.csv,deterministic sentinel-tag subset now distinguishes Empty/Null/CVErr error tags for predicate/coercion-introspection paths
types,String BSTR core,implemented,v34-v160,conformance/tests/string_vbnullstring_predicates.bas,non-boundary deterministic string subset is implemented with vbNullString guard and predicate/value-flow coverage; Oracle 20260321T094401Z: golden=0,0,0,0 matches oracle (DIV-0010 IsNull fix)
types,Date and Currency core,implemented,v15,docs/evidence/formal/obligations.csv,Oracle 20260321T094401Z: conversion tests match; date serial encoding is Cat B representation difference
types,Module Const declarations,implemented,v43,conformance/tests/module_const_basic.bas,
types,Enum declarations,implemented,v43,conformance/tests/enum_basic.bas,
types,User-defined types (UDT),implemented,v100-v152,conformance/tests/udt_field_access_basic.bas,declaration plus flattened field-alias storage subset with deterministic whole-value copy lowering; Oracle 20260321T094401Z: udt_declaration_basic match (field tests Cat C)
types,UDT field access and assignment,implemented,v100-v160,conformance/tests/udt_whole_assignment_overwrite.bas,field read/write plus whole-value assignment lowered into alias copy route with repeated-overwrite fixture coverage
types,Late-bound default-member execution,implemented,v102,conformance/tests/late_bound_default_member_exec.bas,deterministic single-argument dispatch subset
objects,Root object injection,implemented,v7,crates/oxvba-host/src/engine.rs,
objects,Class module lifecycle,implemented,v54,conformance/tests/class_lifecycle_resume_next_ok.bas,lifecycle procedures auto-invoked around entry; Oracle 20260321T094401Z: all 3/3 lifecycle tests match (DIV-0014 fix)
objects,Collection object model subset,implemented,v53,conformance/tests/object_collection_add_item.bas,collection-count projection subset
project_model,ProjectGraph identity/module/reference deterministic scaffold,implemented,pmr-a1-a5,crates/oxvba-host/src/project.rs,host-side ProjectGraph/ProjectNode invariants and stable PMR error codes are executable with unit coverage
project_model,Class/event legality and coverage semantics (WithEvents/Implements/RaiseEvent),implemented,pmr-a1-a5,crates/oxvba-compiler/src/project.rs,project-aware compile-time legality diagnostics are implemented; Implements baseline runtime flow and deterministic WithEvents reassignment/clear transition probes are executable; full sink-instance graph parity remains tracked under DIV-0004 (with multi-interface oracle foldback in ODG-038)
project_model,ProjectManifest compile entry and module-header retention,implemented,pmr-p0-p10,crates/oxvba-compiler/src/project.rs,compile_project and module_unit_from_source provide deterministic project/module parsing and lowering subset
project_model,Reference-order symbol resolution subset,implemented,pmr-p0-p10,crates/oxvba-host/src/project.rs,active-project symbol resolution now honors declared reference precedence for shadowing cases
project_model,Host export eligibility registry subset,implemented,pmr-p0-p10,crates/oxvba-compiler/src/project.rs,public procedural exports are enumerated for host-direct invocation lanes, including Option Private members; reference-boundary visibility remains deferred
interop,Dispatch boundary intrinsics (CreateObject/DispatchInvoke subset),implemented,v55,conformance/tests/com_dispatch_createobject_invoke.bas,deterministic dispatch-projection subset
interop,COM VARIANT canonical layout,implemented,v30,crates/oxvba-runtime/src/variant.rs,
interop,Boundary marshalling roundtrip,partial,v31,crates/oxvba-runtime/src/variant.rs,
interop,Type-library driven external signature import,planned,v87,,
runtime,VM backend execution,implemented,v2,scripts/run-conformance.ps1,
runtime,JIT backend execution subset,implemented,v24,scripts/run-conformance.ps1,
runtime,JIT fallback for unsupported ops,implemented,v24-v159,crates/oxvba-jit/src/lib.rs,unsupported financial tolerance and sentinel-tag introspection bytecode are covered by explicit VM/JIT parity fallback tests



