"file","status","values"
"property_set_byref_route.bas","ok","i32:2"
"redim_expand_allows_new_index.bas","ok","empty|empty|empty|i32:5|empty|i32:5"
"redim_preserve_illegal_non_last_dim_error.bas","error",""
"redim_preserve_keeps_values.bas","ok","empty|i32:7|empty|i32:7|empty|empty"
"redim_preserve_multidim_last_dimension.bas","ok","empty|i32:7|empty|empty|empty|i32:7|empty|empty"
"redim_preserve_shrink_expand_clears_tail.bas","ok","empty|empty|empty|empty|empty|empty"
"redim_shrink_bounds_error.bas","error",""
"redim_without_preserve_resets.bas","ok","empty|empty|empty|empty|empty|empty"
"regression_cverr_error_resume_bridge.bas","ok","i32:11|i32:20|bool:true|i32:10|bool:false"
"regression_cverr_predicate_domain.bas","ok","bool:true|bool:true|bool:false|i32:0|empty"
"resume_label_basic.bas","ok","i32:6"
"resume_next_statement_ok.bas","ok","i32:1"
"resume_statement_basic.bas","ok","i32:2"
"select_case_basic.bas","ok","i32:20"
"select_case_else.bas","ok","i32:99"
"select_case_is_range.bas","ok","i32:22"
"select_case_multi.bas","ok","i32:30"
"smoke.bas","ok","i32:15"
"stdlib_advanced_instrrev_like.bas","ok","i32:4|i32:1"
"stdlib_advanced_replace_trim.bas","ok","string:""16745""|string:""456""|string:""321"""
"stdlib_advanced_split_join.bas","error",""
"stdlib_advanced_strcomp.bas","ok","i32:-1|i32:0"
"stdlib_date_add_diff.bas","error",""
"stdlib_date_serial_value.bas","ok","f64:46081|f64:46081"
"stdlib_date_string_policy.bas","ok","i32:2000|i32:1|i32:1|bool:true|bool:false"
"stdlib_datetime_expansion.bas","ok","i32:2024|i32:2|i32:3|i32:7"
"stdlib_error_cverr_identity.bas","ok","error:17"
"stdlib_error_err_raise_fail.bas","error",""
"stdlib_error_err_raise_resume.bas","ok","i32:11"
"stdlib_financial_zero_rate.bas","ok","f64:-11|f64:-11|f64:-3"
"stdlib_format_core.bas","ok","i32:5|i32:3"
"stdlib_instr_case_ops.bas","ok","i32:3|string:""789""|string:""654"""
"stdlib_len_basic.bas","ok","i32:4"
"stdlib_math_primitives.bas","ok","i32:7|i32:-1|i32:9|i32:20"
"stdlib_math_transcendental_identity.bas","ok","f64:0|f64:1|f64:0|f64:1"
"stdlib_numeric_expansion.bas","ok","string:""1F""|string:""21""|i32:1|i32:-226"
"stdlib_slice_ops.bas","ok","string:""12""|string:""45""|string:""234"""
"stdlib_string_expansion_core.bas","ok","string:""    ""|string:""AAA""|string:""B""|i32:66|string:""777"""
"stdlib_time_serial_value.bas","ok","f64:4.30902777777778E-02|f64:4.30902777777778E-02"
"stdlib_variant_predicates.bas","ok","i32:1|bool:true|i32:0"
"string_compare_option_binary.bas","ok","i32:3|i32:-1"
"string_compare_option_text.bas","ok","i32:3|i32:-1"
"string_mid_statement_mutation.bas","ok","string:""19945"""
"string_slice_ops_dollar.bas","ok","string:""12""|string:""45""|string:""234"""
"string_vbnullstring_basic.bas","ok","string:"""""
"string_vbnullstring_long_error.bas","error",""
"string_vbnullstring_object_error.bas","error",""
"string_vbnullstring_predicates.bas","ok","string:""""|bool:false|bool:false|bool:false"
"subtract.bas","ok","i32:16"
"typechar_explicit_as_precedence_error.bas","error",""
"typed_fastpath_hotloop.bas","ok","i32:300|i32:101"
"udt_declaration_basic.bas","ok","i32:9"
"udt_field_access_basic.bas","ok","empty|i32:7|i32:7|i32:7"
"udt_whole_assignment_copy.bas","ok","empty|i32:7|i32:9|empty|i32:7|i32:9|i32:9"
"udt_whole_assignment_overwrite.bas","ok","empty|i32:7|i32:6|empty|i32:7|i32:6"
"while_nested_if_chain.bas","ok","i32:12|i32:211"
"while_wend_basic.bas","ok","i32:3"
"with_block_basic.bas","ok","i32:3|i32:3"
