"file","status","slots"
"on_error_goto_label_then_goto_zero_error.bas","error",""
"on_error_goto_zero_fail.bas","error",""
"on_error_resume_continue.bas","ok","2"
"on_error_resume_next.bas","ok","5"
"operator_arithmetic_object_plus_error.bas","error",""
"operator_comparison_object_long_error.bas","error",""
"option_explicit_error.bas","error",""
"option_explicit_ok.bas","ok","3"
"params_byref_error.bas","error",""
"params_byref.bas","ok","2"
"params_byval.bas","ok","1"
"params_named_bind.bas","ok","9"
"params_named_optional_omit.bas","ok","7"
"params_named_positional_after_named_error.bas","error",""
"params_optional_default.bas","ok","7"
"params_optional_override.bas","ok","9"
"params_paramarray_dispatch_boundary.bas","ok","25008"
"params_paramarray_empty.bas","ok","-1"
"params_paramarray_named_error.bas","error",""
"params_paramarray_pack.bas","ok","2"
"proc_call_chain.bas","ok","1"
"proc_call_local_scope.bas","ok","2"
"property_get_declaration_basic.bas","ok","4"
"property_get_expression_basic.bas","ok","0"
"property_let_byref_route.bas","ok","3"
"property_set_byref_route.bas","ok","7"
"redim_expand_allows_new_index.bas","ok","0,0,5,0,5"
"redim_preserve_illegal_non_last_dim_error.bas","error",""
"redim_preserve_keeps_values.bas","ok","7,0,7,0,0"
"redim_preserve_multidim_last_dimension.bas","ok","7,0,0,0,7,0,0"
"redim_preserve_shrink_expand_clears_tail.bas","ok","0,0,0,0,0"
"redim_shrink_bounds_error.bas","error",""
"redim_without_preserve_resets.bas","ok","0,0,0,0,0"
"resume_label_basic.bas","ok","6"
"resume_next_statement_ok.bas","ok","1"
"resume_statement_basic.bas","ok","2"
"select_case_basic.bas","ok","20"
"select_case_else.bas","ok","99"
"select_case_is_range.bas","ok","22"
"select_case_multi.bas","ok","30"
"smoke.bas","ok","15"
"stdlib_advanced_instrrev_like.bas","ok","4,1"
"stdlib_advanced_replace_trim.bas","ok","16745,456,321"
"stdlib_advanced_split_join.bas","ok","3,789"
"stdlib_advanced_strcomp.bas","ok","-1,0"
"stdlib_array_introspection_bounds.bas","ok","-999999997,0,2"
"stdlib_array_introspection_types.bas","ok","-999999998,8204,1001"
"stdlib_date_add_diff.bas","ok","20260231,3"
"stdlib_date_serial_value.bas","ok","20260228,20260228"
"stdlib_error_cverr_identity.bas","ok","17"
"stdlib_error_err_raise_fail.bas","error",""
"stdlib_error_err_raise_resume.bas","ok","11"
"stdlib_financial_zero_rate.bas","ok","-11,-11,-3"
"stdlib_host_sensitive_mix.bas","ok","1,4"
"stdlib_host_sensitive_shell_environ_dir.bas","ok","1,9,1"
"stdlib_host_sensitive_zero_fallback.bas","ok","0,0"
"stdlib_instr_case_ops.bas","ok","3,789,654"
"stdlib_len_basic.bas","ok","4"
"stdlib_math_primitives.bas","ok","7,-1,9,20"
"stdlib_math_transcendental_identity.bas","ok","0,1,0,1"
"stdlib_slice_ops.bas","ok","12,45,234"
"stdlib_time_serial_value.bas","ok","3723,3723"
"stdlib_variant_predicates.bas","ok","1,1,0"
"string_compare_option_binary.bas","ok","3,-1"
"string_compare_option_text.bas","ok","3,-1"
"string_mid_statement_mutation.bas","ok","19945"
"string_slice_ops_dollar.bas","ok","12,45,234"
"string_vbnullstring_basic.bas","ok","0"
"string_vbnullstring_object_error.bas","error",""
"subtract.bas","ok","16"
"typechar_explicit_as_precedence_error.bas","error",""
"typed_fastpath_hotloop.bas","ok","300,101"
"udt_declaration_basic.bas","ok","9"
"udt_field_access_basic.bas","ok","0,7,7,7"
"while_wend_basic.bas","ok","3"
"with_block_basic.bas","ok","3,3"
